,StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Team,82.0,19705,2843,6415,0.443,553,1599,0.346,2290,4816,0.475,1572,2095,0.75,851,2440,3291,1683,770,331,1332,1837,7811
1,Team/G,,240.3,34.7,78.2,0.443,6.7,19.5,0.346,27.9,58.7,0.475,19.2,25.5,0.75,10.4,29.8,40.1,20.5,9.4,4.0,16.2,22.4,95.3
2,Lg Rank,,28,15,22,10.0,3,3,12.0,24,27,6.0,8,8,18.0,27,17,27,17,2,25,24,24,8
3,Year/Year,,-0.6%,5.3%,-1.4%,0.028,-23.1%,-25.8%,0.012,15.6%,10.6%,0.02,6.2%,5.1%,0.008,0.2%,-1.3%,-0.9%,6.9%,6.9%,9.2%,16.1%,4.5%,2.8%
4,Opponent,82.0,19705,2894,6626,0.437,555,1534,0.362,2339,5092,0.459,1587,2157,0.736,1069,2524,3593,1882,719,408,1406,1819,7930
5,Opponent/G,,240.3,35.3,80.8,0.437,6.8,18.7,0.362,28.5,62.1,0.459,19.4,26.3,0.736,13.0,30.8,43.8,23.0,8.8,5.0,17.1,22.2,96.7
6,Lg Rank,,28,15,17,14.0,29,29,24.0,8,4,16.0,23,26,2.0,26,22,24,23,27,12,1,9,20
7,Year/Year,,-0.6%,3.2%,2.7%,0.002,19.9%,9.6%,0.031,-0.1%,0.8%,-0.004,1.7%,3.5%,-0.013,14.1%,-8.2%,-2.5%,3.2%,16.5%,11.2%,6.9%,1.2%,3.9%
