,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,10,Leandro Barbosa,PG,6-3,194,"November 28, 1982",Brazil,1,
1,11,Zarko Cabarkapa,PF,6-11,235,"May 21, 1981",Serbia,1,
2,45,Steven Hunter,C,7-0,220,"October 31, 1981",United States,3,DePaul
3,21,Jim Jackson,SF,6-6,220,"October 14, 1970",United States,12,Ohio State
4,23,Casey Jacobsen,SF,6-6,215,"March 19, 1981",United States,2,Stanford
5,2,Joe Johnson,SF,6-7,240,"June 29, 1981",United States,3,Arkansas
6,30,Maciej Lampe,C,6-11,275,"February 5, 1985",Poland,1,
7,31,Shawn Marion,PF,6-7,220,"May 7, 1978",United States,5,"Vincennes University, UNLV"
8,0,Walter McCarty,PF,6-10,230,"February 1, 1974",United States,8,Kentucky
9,13,Steve Nash,PG,6-3,195,"February 7, 1974",South Africa,8,Santa Clara
10,46,Bo Outlaw,PF,6-8,210,"April 13, 1971",United States,11,"South Plains College, Houston"
11,1,Smush Parker,PG,6-4,190,"June 1, 1981",United States,1,Fordham
12,3,Quentin Richardson,SG,6-6,223,"April 13, 1980",United States,4,DePaul
13,17,Paul Shirley,PF,6-10,230,"December 23, 1977",United States,2,Iowa State
14,32,Amar'e Stoudemire,C,6-10,245,"November 16, 1982",United States,2,
15,1,Yuta Tabuse,PG,5-9,165,"October 5, 1980",Japan,R,Brigham Young University Hawaii
16,43,Jake Voskuhl,C,6-11,245,"November 1, 1977",United States,4,UConn
17,4,Jackson Vroman,PF,6-10,220,"June 6, 1981",United States,R,Iowa State
