No.,Player,Pos,Ht,Wt,Birthdate,Country,Exp,College
,Otto Porter,F,6-8,198,"June 3, 1993",us,8,Georgetown
,Damion Lee,G,6-5,210,"October 21, 1992",us,4,"Drexel, Louisville"
,Stephen Curry,G,6-3,185,"March 14, 1988",us,12,Davidson
,Nemanja Bjelica,F,6-10,234,"May 9, 1988",rs,6,
,Mychal Mulder,G-F,6-3,184,"June 12, 1994",ca,2,"Vincennes University, Kentucky"
,Andrew Wiggins,F-G,6-7,197,"February 23, 1995",ca,7,Kansas
,Moses Moody,G,6-6,205,"May 31, 2002",us,R,Arkansas
,James Wiseman,C,7-0,240,"March 31, 2001",us,1,Memphis
,Draymond Green,F,6-6,230,"March 4, 1990",us,9,Michigan State
,Andre Iguodala,G-F,6-6,215,"January 28, 1984",us,17,Arizona
,Juan Toscano-Anderson,F,6-6,209,"April 10, 1993",us,2,Marquette
,Jordan Poole,G,6-4,194,"June 19, 1999",us,2,Michigan
,Chris Chiozza (TW),G,5-11,175,"November 21, 1995",us,3,Florida
,Gary Payton II,G,6-3,190,"December 1, 1992",us,5,Oregon State
,Klay Thompson,G-F,6-6,215,"February 8, 1990",us,8,Washington State
,Jonathan Kuminga,F,6-8,210,"October 6, 2002",cd,R,
,Kevon Looney,F-C,6-9,222,"February 6, 1996",us,6,UCLA
