StatType,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OppeFG%,OppTOV%,DRB%,OppFT/FGA,Arena,Attendance
Team,9,10,7,12,-3.68,-1.31,-4.99,105.3,108.9,102.2,0.235,0.37,0.52,14.1,21.6,0.175,0.527,13.9,76.4,0.187,STAPLES Center,225415
Lg Rank,16,9,23,25,24.0,25.0,25.0,25.0,20.0,2.0,11.0,24.0,13.0,26.0,19.0,15.0,21.0,8.0,23.0,24.0,,1
