Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2018-19,21.0,SAS,NBA,PF,23,0,4.9,0.7,1.1,0.577,0.0,0.0,,0.7,1.1,0.577,0.577,0.5,0.6,0.846,0.3,1.2,1.5,0.3,0.1,0.2,0.3,0.5,1.8
2019-20,22.0,SAS,NBA,C,22,3,12.4,2.0,3.0,0.642,0.0,0.0,1.0,1.9,3.0,0.636,0.649,0.9,1.2,0.769,1.3,2.6,3.9,0.7,0.2,0.8,1.0,1.7,4.9
2020-21,23.0,SAS,NBA,C,54,3,14.0,2.1,3.8,0.566,0.0,0.0,1.0,2.1,3.8,0.562,0.571,1.4,2.0,0.726,1.4,3.1,4.5,0.8,0.3,0.9,0.8,1.6,5.8
2021-22,24.0,SAS,NBA,C,10,3,14.1,2.2,4.1,0.537,0.0,0.2,0.0,2.2,3.9,0.564,0.537,1.0,1.4,0.714,0.9,3.7,4.6,1.3,0.5,1.3,1.2,1.5,5.4
Career,,,NBA,,109,9,11.8,1.8,3.1,0.578,0.0,0.0,0.6,1.8,3.1,0.578,0.583,1.1,1.5,0.742,1.1,2.7,3.7,0.7,0.3,0.8,0.8,1.4,4.7
