,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,31,Keita Bates-Diop,SF,6-8,229,"January 23, 1996",United States,R,Ohio State
1,8,Jerryd Bayless,PG,6-3,200,"August 20, 1988",United States,10,Arizona
2,23,Jimmy Butler,SG,6-7,230,"September 14, 1989",United States,7,Marquette
3,7,Isaiah Canaan,PG,6-0,201,"May 21, 1991",United States,5,Murray State
4,33,Robert Covington,SF,6-7,209,"December 14, 1990",United States,5,Tennessee State
5,55,Mitch Creek,SF,6-5,216,"April 27, 1992",Australia,R,
6,9,Luol Deng,SF,6-9,237,"April 16, 1985",South Sudan,14,Duke
7,5,Gorgui Dieng,C,6-10,252,"January 18, 1990",Senegal,5,Louisville
8,67,Taj Gibson,PF,6-9,232,"June 24, 1985",United States,9,USC
9,1,Tyus Jones,PG,6-0,196,"May 10, 1996",United States,3,Duke
10,7,James Nunnally,SF,6-7,208,"July 14, 1990",United States,1,UC Santa Barbara
11,20,Josh Okogie,SG,6-4,213,"September 1, 1998",Nigeria,R,Georgia Tech
12,13,Cameron Reynolds,SG,6-7,225,"February 7, 1995",United States,R,Tulane
13,25,Derrick Rose,PG,6-2,200,"October 4, 1988",United States,9,Memphis
14,36,Dario Saric,PF,6-10,225,"April 8, 1994",Croatia,2,
15,0,Jeff Teague,PG,6-3,195,"June 10, 1988",United States,9,Wake Forest
16,3,Jared Terrell,SG,6-3,227,"February 10, 1995",United States,R,Rhode Island
17,43,Anthony Tolliver,PF,6-8,240,"June 1, 1985",United States,10,Creighton
18,32,Karl-Anthony Towns,C,6-11,248,"November 15, 1995",United States,3,Kentucky
19,22,Andrew Wiggins,SF,6-7,197,"February 23, 1995",Canada,4,Kansas
20,12,CJ Williams,SG,6-5,226,"February 6, 1990",United States,1,NC State
