Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,20.0,HOU,NBA,SF,45,8,23.7,3.6,7.1,0.509,0.8,2.1,0.365,2.8,4.9,0.572,0.564,1.3,1.9,0.714,1.6,3.8,5.4,1.1,0.7,0.9,0.8,2.0,9.3
2021-22,21.0,HOU,NBA,SF,9,0,14.6,2.8,4.2,0.658,0.3,1.2,0.273,2.4,3.0,0.815,0.697,0.8,1.0,0.778,0.6,2.0,2.6,0.8,0.3,0.4,0.4,0.8,6.7
Career,,,NBA,,54,8,22.2,3.5,6.6,0.525,0.7,2.0,0.355,2.8,4.6,0.598,0.579,1.2,1.7,0.72,1.4,3.5,4.9,1.0,0.6,0.8,0.8,1.8,8.9
