Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2019-20,23.0,CHI,NBA,SF,2.0,6.0,30.7,0.727,0.333,0.333,17.5,0.0,9.2,0.0,0.0,0.0,0.0,24.4,0.0,0.0,0.0,0.316,5.3,-1.0,4.4,0.0
2020-21,24.0,MIA,NBA,SF,39.0,507.0,12.1,0.597,0.791,0.128,1.1,8.0,4.6,7.3,1.1,0.4,3.9,18.3,0.6,0.3,0.9,0.088,-0.4,-1.8,-2.2,0.0
2021-22,25.0,MIA,NBA,SF,15.0,321.0,11.2,0.578,0.745,0.133,1.1,16.0,8.6,6.9,1.1,0.7,8.0,15.5,0.3,0.3,0.7,0.1,-0.2,0.2,0.0,0.2
Career,,,NBA,,56.0,834.0,11.9,0.592,0.771,0.132,1.2,11.0,6.2,7.1,1.1,0.5,5.3,17.3,1.0,0.7,1.6,0.094,-0.3,-1.0,-1.3,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,MIA,NBA,,54.0,828.0,11.8,0.591,0.775,0.13,1.1,11.1,6.2,7.2,1.1,0.5,5.3,17.2,0.9,0.7,1.6,0.092,-0.3,-1.0,-1.3,0.1
1 season,,CHI,NBA,,2.0,6.0,30.7,0.727,0.333,0.333,17.5,0.0,9.2,0.0,0.0,0.0,0.0,24.4,0.0,0.0,0.0,0.316,5.3,-1.0,4.4,0.0
