StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,23.0,5520,846,2029,0.417,279,874,0.319,567,1155,0.491,328,439,0.747,220,810,1030,500,155,112,346,457,2299
Team/G,,240.0,36.8,88.2,0.417,12.1,38.0,0.319,24.7,50.2,0.491,14.3,19.1,0.747,9.6,35.2,44.8,21.7,6.7,4.9,15.0,19.9,100.0
Lg Rank,,7,28,16,28.0,13,8,28.0,28,22,26.0,26,24,23.0,22,15,20,26,29,14,22,25,28
Year/Year,,-0.3%,-3.8%,-1.1%,-0.012,11.4%,19.6%,-0.024,-9.9%,-12.6%,0.015,-14.1%,-10.9%,-0.028,-7.8%,0.4%,-1.5%,-0.4%,-2.2%,10.3%,17.2%,15.7%,-3.9%
Opponent,23.0,5520,936,2047,0.457,299,860,0.348,637,1187,0.537,362,491,0.737,240,841,1081,588,197,135,300,429,2533
Opponent/G,,240.0,40.7,89.0,0.457,13.0,37.4,0.348,27.7,51.6,0.537,15.7,21.3,0.737,10.4,36.6,47.0,25.6,8.6,5.9,13.0,18.7,110.1
Lg Rank,,7,22,15,20.0,22,22,19.0,13,12,22.0,16,24,4.0,18,23,25,26,25,26,26,19,23
Year/Year,,-0.3%,-3.6%,-0.7%,-0.013,-5.2%,1.6%,-0.025,-2.8%,-2.4%,-0.002,3.7%,10.6%,-0.049,6.7%,-2.7%,-0.8%,-1.8%,12.5%,10.1%,2.4%,-0.0%,-2.8%
