,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,20,Lou Amundson,PF,6-9,220,"December 7, 1982",United States,1,UNLV
1,52,Calvin Booth,C,6-11,230,"May 7, 1976",United States,8,Penn State
2,25,Rodney Carney,SF,6-7,205,"April 15, 1984",United States,1,Memphis
3,1,Samuel Dalembert,C,6-11,255,"May 10, 1981",Haiti,5,Seton Hall
4,30,Reggie Evans,PF,6-8,245,"May 18, 1980",United States,5,Iowa
5,11,Gordan Giricek,SG,6-6,210,"June 20, 1977",Croatia,5,
6,33,Willie Green,SG,6-4,200,"July 28, 1981",United States,4,Detroit Mercy
7,9,Andre Iguodala,SF,6-6,215,"January 28, 1984",United States,3,Arizona
8,26,Kyle Korver,PF,6-7,212,"March 17, 1981",United States,4,Creighton
9,7,Andre Miller,PG,6-3,200,"March 19, 1976",United States,8,Utah
10,12,Kevin Ollie,SG,6-4,195,"December 27, 1972",United States,10,UConn
11,42,Shavlik Randolph,PF,6-10,240,"November 24, 1983",United States,2,Duke
12,14,Jason Smith,PF,7-0,240,"March 2, 1986",United States,R,Colorado State
13,23,Lou Williams,PG,6-1,175,"October 27, 1986",United States,2,
14,21,Thaddeus Young,PF,6-8,235,"June 21, 1988",United States,R,Georgia Tech
