StatType,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OppeFG%,OppTOV%,DRB%,OppFT/FGA,Arena,Attendance
Team,6,4,4,6,-3.9,2.92,-0.98,109.3,113.2,98.5,0.185,0.404,0.513,12.4,26.4,0.147,0.556,13.2,77.6,0.155,FedEx Forum,70040
Lg Rank,11,17,24,23,23.0,1.0,18.0,10.0,28.0,19.0,28.0,17.0,19.0,9.0,2.0,28.0,28.0,14.0,16.0,5.0,,19
