,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,5,Carlos Boozer,PF,6-9,258,"November 20, 1981",Germany,7,Duke
1,9,Ronnie Brewer,SG,6-7,220,"March 20, 1985",United States,3,Arkansas
2,44,Kyrylo Fesenko,C,7-1,288,"December 24, 1986",Ukraine,2,
3,15,Sundiata Gaines,PG,6-1,185,"April 18, 1986",United States,R,Georgia
4,6,Othyus Jeffers,SG,6-5,200,"August 5, 1985",United States,R,"University of Illinois at Chicago, Robert Morris University (IL)"
5,47,Andrei Kirilenko,SF,6-9,220,"February 18, 1981",Russia,8,
6,26,Kyle Korver,SG,6-7,212,"March 17, 1981",United States,6,Creighton
7,41,Kosta Koufos,C,7-0,245,"February 24, 1989",United States,1,Ohio State
8,23,Wesley Matthews,SG,6-4,220,"October 14, 1986",United States,R,Marquette
9,3,Eric Maynor,PG,6-3,175,"June 11, 1987",United States,R,VCU
10,34,CJ Miles,SF,6-6,220,"March 18, 1987",United States,4,
11,24,Paul Millsap,PF,6-7,257,"February 10, 1985",United States,3,Louisiana Tech
12,13,Mehmet Okur,C,6-11,249,"May 26, 1979",Turkey,7,
13,17,Ronnie Price,PG,6-2,190,"June 21, 1983",United States,4,"Nicholls State, Utah Valley"
14,8,Deron Williams,PG,6-3,200,"June 26, 1984",United States,4,Illinois
