,StatType,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OppeFG%,OppTOV%,DRB%,OppFT/FGA,Arena,Attendance
0,Team,59,23,59,23,6.7,-0.21,6.48,109.2,101.9,92.3,0.351,0.335,0.52,13.4,24.0,0.251,0.465,12.3,75.9,0.209,Amway Arena,698768
1,Lg Rank,4,27,4,4,4.0,21.0,4.0,11.0,1.0,12.0,3.0,1.0,3.0,20.0,28.0,6.0,1.0,25.0,2.0,4.0,,18
