StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,17.0,4080,671,1477,0.454,190,602,0.316,481,875,0.55,212,286,0.741,162,593,755,401,129,69,234,317,1744
Team/G,,240.0,39.5,86.9,0.454,11.2,35.4,0.316,28.3,51.5,0.55,12.5,16.8,0.741,9.5,34.9,44.4,23.6,7.6,4.1,13.8,18.6,102.6
Lg Rank,,21,17,24,14.0,24,16,27.0,12,16,3.0,29,29,24.0,23,18,25,11,17,27,10,13,24
Year/Year,,-1.1%,-8.7%,-2.6%,-0.031,-13.2%,3.6%,-0.061,-6.9%,-6.4%,-0.003,-20.5%,-13.8%,-0.062,-9.5%,2.8%,-0.1%,-12.1%,-6.1%,-9.5%,2.0%,-2.3%,-10.8%
Opponent,17.0,4080,656,1448,0.453,183,565,0.324,473,883,0.536,233,303,0.769,160,595,755,386,118,80,237,316,1728
Opponent/G,,240.0,38.6,85.2,0.453,10.8,33.2,0.324,27.8,51.9,0.536,13.7,17.8,0.769,9.4,35.0,44.4,22.7,6.9,4.7,13.9,18.6,101.6
Lg Rank,,21,7,4,18.0,4,9,7.0,17,13,24.0,5,7,13.0,6,14,10,13,4,14,16,16,2
Year/Year,,-1.1%,-3.6%,-0.3%,-0.016,-17.0%,-6.9%,-0.039,2.8%,4.5%,-0.009,-19.7%,-19.2%,-0.004,3.9%,8.9%,7.8%,-12.3%,-7.5%,4.3%,-1.0%,-2.9%,-7.7%
