No.,Player,Pos,Ht,Wt,Birthdate,Country,Exp,College
,Duncan Robinson,G-F,6-7,215,"April 22, 1994",us,3,"Williams, Michigan"
,Omer Yurtseven,C,7-0,264,"June 19, 1998",tr,R,"NC State, Georgetown"
,Javonte Smart,G,6-4,205,"June 3, 1999",us,R,LSU
,Andre Iguodala,G-F,6-6,215,"January 28, 1984",us,17,Arizona
,Victor Oladipo,G,6-4,213,"May 4, 1992",us,8,Indiana
,Markieff Morris,F,6-9,245,"September 2, 1989",us,10,Kansas
,Micah Potter,C,6-10,248,"April 6, 1998",us,R,"Ohio State, Wisconsin"
,KZ Okpala,F,6-8,215,"April 28, 1999",us,2,Stanford
,P.J. Tucker,F,6-5,245,"May 5, 1985",us,10,Texas
,Gabe Vincent,G,6-3,200,"June 14, 1996",us,2,UC Santa Barbara
,Caleb Martin (TW),F,6-5,205,"September 28, 1995",us,2,"NC State, Nevada"
,Tyler Herro,G,6-5,195,"January 20, 2000",us,2,Kentucky
,Udonis Haslem,F-C,6-8,235,"June 9, 1980",us,18,Florida
,Max Strus,G,6-5,215,"March 28, 1996",us,2,"Lewis (IL), DePaul"
,Jimmy Butler,F-G,6-7,230,"September 14, 1989",us,10,Marquette
,D. J. Stewart Jr.,G,6-6,205,"July 28, 1999",us,R,Mississippi State
,Dewayne Dedmon,C,7-0,245,"August 12, 1989",us,8,USC
,Bam Adebayo,C-F,6-9,255,"July 18, 1997",us,4,Kentucky
,Marcus Garrett (TW),G,6-5,205,"November 9, 1998",us,R,Kansas
,Kyle Lowry,G,6-0,196,"March 25, 1986",us,15,Villanova
,Omer Yurtseven,C,7-0,264,"June 19, 1998",tr,R,"NC State, Georgetown"
,Dru Smith,G,6-3,203,"December 30, 1997",us,R,"University of Evansville, Missouri"
