,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,5,Will Barton,SF,6-6,181,"January 6, 1991",United States,8,Memphis
1,10,Bol Bol,PF,7-2,220,"November 16, 1999",Sudan,1,Oregon
2,7,Facundo Campazzo,PG,5-10,195,"March 23, 1991",Argentina,R,
3,31,Vlatko Cancar,PF,6-8,236,"April 10, 1997",Slovenia,1,
4,6,Gary Clark,SF,6-6,225,"November 16, 1994",United States,2,Cincinnati
5,35,PJ Dozier,SG,6-6,205,"October 25, 1996",United States,3,South Carolina
6,50,Aaron Gordon,PF,6-8,235,"September 16, 1995",United States,6,Arizona
7,0,JaMychal Green,PF,6-8,227,"June 21, 1990",United States,6,Alabama
8,13,RJ Hampton,PG,6-4,175,"February 7, 2001",United States,R,
9,14,Gary Harris,SG,6-4,210,"September 14, 1994",United States,6,Michigan State
10,3,Shaquille Harrison,SG,6-7,190,"October 6, 1993",United States,3,Tulsa
11,25,Isaiah Hartenstein,C,7-0,250,"May 5, 1998",United States,2,
12,0,Markus Howard,SG,5-10,175,"March 3, 1999",United States,R,Marquette
13,15,Nikola Jokic,C,6-11,284,"February 19, 1995",Serbia,5,
14,34,JaVale McGee,C,7-0,270,"January 19, 1988",United States,12,Nevada
15,4,Paul Millsap,PF,6-7,257,"February 10, 1985",United States,14,Louisiana Tech
16,11,Monte Morris,PG,6-2,183,"June 27, 1995",United States,3,Iowa State
17,27,Jamal Murray,PG,6-3,215,"February 23, 1997",Canada,4,Kentucky
18,22,Zeke Nnaji,PF,6-9,240,"January 9, 2001",United States,R,Arizona
19,1,Michael Porter,SF,6-10,218,"June 29, 1998",United States,1,Missouri
20,25,Austin Rivers,SG,6-4,200,"August 1, 1992",United States,8,Duke
21,3,Greg Whittington,PF,6-8,210,"February 7, 1993",United States,R,Georgetown
