Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2020-21,21.0,PHI,NBA,SG,41,383,9.5,0.533,0.797,0.18,1.8,8.5,5.2,7.2,1.5,0.9,7.1,17.4,0.2,0.4,0.6,0.078,-2.2,-1.3,-3.5,-0.1
2021-22,22.0,PHI,NBA,SG,10,86,3.1,0.411,0.767,0.033,0.0,13.8,7.0,7.9,0.0,0.0,9.0,17.6,-0.1,0.0,-0.1,-0.08,-5.6,-4.3,-9.8,-0.2
Career,,,NBA,,51,469,8.3,0.511,0.791,0.153,1.4,9.5,5.5,7.3,1.2,0.8,7.4,17.4,0.0,0.4,0.5,0.049,-2.8,-1.8,-4.7,-0.3
