Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2019-20,20.0,CLE,NBA,SG,59,59,30.9,4.7,11.8,0.401,1.8,5.0,0.355,3.0,6.8,0.434,0.476,1.1,1.2,0.875,0.5,1.4,1.9,3.9,0.7,0.1,2.6,1.6,12.3
2020-21,21.0,CLE,NBA,PG,54,50,33.1,6.7,14.9,0.451,1.9,4.9,0.395,4.8,9.9,0.479,0.517,2.1,2.4,0.848,0.4,2.0,2.4,6.1,1.2,0.1,3.0,2.0,17.4
2021-22,22.0,CLE,NBA,PG,14,14,34.3,6.4,13.6,0.466,2.6,6.9,0.381,3.7,6.7,0.553,0.563,1.9,2.2,0.871,0.2,2.2,2.4,6.6,1.4,0.1,3.6,1.2,17.3
Career,,,NBA,,127,123,32.2,5.8,13.3,0.432,1.9,5.2,0.375,3.8,8.1,0.469,0.505,1.6,1.9,0.86,0.4,1.7,2.2,5.1,1.0,0.1,2.9,1.7,15.0
