,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,49,Shandon Anderson,SG,6-6,208,"December 31, 1973",United States,8,Georgia
1,21,Trevor Ariza,SF,6-8,215,"June 30, 1985",United States,R,UCLA
2,42,Vin Baker,PF,6-11,232,"November 23, 1971",United States,11,University of Hartford
3,2,Jamison Brewer,PG,6-4,184,"November 19, 1980",United States,3,Auburn
4,45,Jackie Butler,C,6-10,250,"March 10, 1985",United States,R,
5,11,Jamal Crawford,SG,6-5,185,"March 20, 1980",United States,4,Michigan
6,1,Anfernee Hardaway,SF,6-7,195,"July 18, 1971",United States,11,Memphis
7,20,Allan Houston,SG,6-6,200,"April 20, 1971",United States,11,Tennessee
8,8,Jermaine Jackson,SG,6-4,204,"June 7, 1976",United States,3,Detroit Mercy
9,3,Stephon Marbury,PG,6-2,180,"February 20, 1977",United States,8,Georgia Tech
10,13,Nazr Mohammed,C,6-10,221,"September 5, 1977",United States,6,Kentucky
11,25,Moochie Norris,PG,6-1,175,"July 27, 1973",United States,7,"Auburn, University of West Florida"
12,13,Malik Rose,PF,6-7,250,"November 23, 1974",United States,8,Drexel
13,14,Bruno Sundov,C,7-2,220,"February 10, 1980",Croatia,6,
14,50,Mike Sweetney,C,6-8,275,"October 25, 1982",United States,1,Georgetown
15,2,Maurice Taylor,C,6-9,260,"October 30, 1976",United States,6,"Michigan, LSU"
16,40,Kurt Thomas,PF,6-9,230,"October 4, 1972",United States,9,TCU
17,5,Tim Thomas,SF,6-10,230,"February 26, 1977",United States,7,Villanova
18,31,Jerome Williams,SF,6-9,206,"May 10, 1973",United States,8,Georgetown
