StatType,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OppeFG%,OppTOV%,DRB%,OppFT/FGA,Arena,Attendance
Team,3,7,5,5,0.4,-2.89,-2.49,104.2,103.8,102.0,0.17,0.307,0.512,11.9,20.0,0.119,0.521,15.1,77.5,0.14,AT&T Center,65760
Lg Rank,24,5,17,13,16.0,28.0,22.0,23.0,6.0,3.0,30.0,30.0,20.0,5.0,26.0,30.0,20.0,5.0,17.0,3.0,,20
