,StatType,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OppeFG%,OppTOV%,DRB%,OppFT/FGA,Arena,Attendance
0,Team,57,25,56,26,6.46,-0.04,6.42,115.9,109.5,100.9,0.227,0.384,0.565,12.6,22.5,0.182,0.508,11.7,77.1,0.205,Oracle Arena,803436
1,Lg Rank,3,28,2,2,2.0,19.0,2.0,1.0,13.0,10.0,28.0,8.0,1.0,18.0,16.0,23.0,3.0,20.0,14.0,21.0,,6
