Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2020-21,20.0,POR,NBA,SF,30,192,9.4,0.468,0.515,0.227,6.0,12.0,8.9,7.1,1.5,1.4,6.4,17.4,0.0,0.1,0.1,0.032,-4.1,-1.5,-5.6,-0.2
2021-22,21.0,POR,NBA,SF,11,54,2.1,0.412,0.529,0.0,2.0,26.8,14.2,7.7,0.0,0.0,19.0,16.9,-0.1,0.0,-0.1,-0.099,-8.1,-2.6,-10.7,-0.1
Career,,,NBA,,41,246,7.8,0.458,0.518,0.181,5.1,15.3,10.1,7.3,1.2,1.1,9.1,17.3,-0.1,0.1,0.0,0.003,-5.0,-1.8,-6.7,-0.3
