,StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Team,82.0,19830,2700,6509,0.415,719,2155,0.334,1981,4354,0.455,1480,1994,0.742,849,2471,3320,1575,720,303,1147,1758,7599
1,Team/G,,241.8,32.9,79.4,0.415,8.8,26.3,0.334,24.2,53.1,0.455,18.0,24.3,0.742,10.4,30.1,40.5,19.2,8.8,3.7,14.0,21.4,92.7
2,Lg Rank,,14,26,21,27.0,1,1,21.0,29,29,23.0,17,16,22.0,28,14,26,27,4,25,7,11,22
3,Year/Year,,0.0%,-5.3%,-3.3%,-0.009,2.9%,10.7%,-0.026,-8.0%,-9.0%,0.005,-1.2%,1.7%,-0.022,-4.7%,-3.9%,-4.1%,-8.5%,-9.2%,3.8%,3.0%,-1.0%,-3.8%
4,Opponent,82.0,19830,2804,6450,0.435,463,1400,0.331,2341,5050,0.464,1560,2084,0.749,937,2750,3687,1824,617,367,1315,1798,7631
5,Opponent/G,,241.8,34.2,78.7,0.435,5.6,17.1,0.331,28.5,61.6,0.464,19.0,25.4,0.749,11.4,33.5,45.0,22.2,7.5,4.5,16.0,21.9,93.1
6,Lg Rank,,14,6,7,7.0,24,28,4.0,5,2,16.0,19,19,6.0,10,29,26,19,8,8,6,12,12
7,Year/Year,,0.0%,0.3%,-2.0%,0.01,-9.9%,-7.3%,-0.01,2.5%,-0.4%,0.013,-3.2%,-0.3%,-0.022,-1.8%,-2.0%,-2.0%,1.2%,-1.0%,-22.9%,-1.5%,3.7%,-1.2%
