Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,21.0,BOS,NBA,SF,46,1,14.5,1.7,3.9,0.438,0.9,2.3,0.37,0.8,1.5,0.543,0.551,0.5,0.6,0.786,0.6,2.2,2.8,0.5,0.3,0.2,0.5,1.9,4.7
2021-22,22.0,BOS,NBA,SF,14,0,9.3,0.7,2.7,0.263,0.4,2.1,0.172,0.4,0.6,0.556,0.329,0.1,0.1,1.0,0.4,1.3,1.7,0.4,0.2,0.0,0.4,0.9,1.9
Career,,,NBA,,60,1,13.3,1.5,3.6,0.407,0.8,2.3,0.328,0.7,1.3,0.544,0.512,0.4,0.5,0.8,0.6,2.0,2.5,0.5,0.3,0.2,0.5,1.7,4.1
