,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,11,Jeff Ayres,PF,6-9,240,"April 29, 1987",United States,3,Arizona State
1,16,Aron Baynes,C,6-10,260,"December 9, 1986",New Zealand,1,Washington State
2,3,Marco Belinelli,SF,6-5,220,"March 25, 1986",Italy,6,
3,15,Matt Bonner,PF,6-10,235,"April 5, 1980",United States,9,Florida
4,1,Shannon Brown,SG,6-4,205,"November 29, 1985",United States,7,Michigan State
5,23,Austin Daye,SF,6-11,220,"June 5, 1988",United States,4,Gonzaga
6,25,Nando De Colo,SF,6-5,200,"June 23, 1987",France,1,
7,33,Boris Diaw,PF,6-8,250,"April 16, 1982",France,10,
8,21,Tim Duncan,C,6-11,250,"April 25, 1976",U.S. Virgin Islands,16,Wake Forest
9,20,Manu Ginobili,SG,6-6,205,"July 28, 1977",Argentina,11,
10,4,Danny Green,SG,6-6,215,"June 22, 1987",United States,4,UNC
11,7,Damion James,SF,6-7,225,"October 7, 1987",United States,3,Texas
12,7,Othyus Jeffers,SG,6-5,200,"August 5, 1985",United States,2,"University of Illinois at Chicago, Robert Morris University (IL)"
13,5,Cory Joseph,SG,6-3,200,"August 20, 1991",Canada,2,Texas
14,2,Kawhi Leonard,SF,6-7,225,"June 29, 1991",United States,2,San Diego State
15,8,Patty Mills,PG,6-1,180,"August 11, 1988",Australia,4,Saint Mary's
16,9,Tony Parker,PG,6-2,185,"May 17, 1982",Belgium,12,
17,22,Tiago Splitter,C,6-11,245,"January 1, 1985",Brazil,3,
18,24,Malcolm Thomas,PF,6-9,225,"November 8, 1988",United States,2,"Pepperdine, San Diego State"
