Unnamed: 0,StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Team,8.0,1920,316,697,0.453,112,338,0.331,204,359,0.568,158,193,0.819,87,319,406,152,57,45,130,155,902
1,Team/G,,240.0,39.5,87.1,0.453,14.0,42.3,0.331,25.5,44.9,0.568,19.8,24.1,0.819,10.9,39.9,50.8,19.0,7.1,5.6,16.3,19.4,112.8
2,Lg Rank,,22,18,23,16.0,5,2,22.0,24,30,2.0,1,1,4.0,12,3,2,30,25,10,23,20,5
3,Year/Year,,-0.4%,-4.3%,-1.1%,-0.015,-16.3%,-1.8%,-0.058,4.0%,-0.5%,0.024,15.1%,12.4%,0.02,2.4%,6.0%,5.2%,-19.7%,8.2%,9.2%,14.4%,4.5%,-3.1%
4,Opponent,8.0,1920,301,730,0.412,70,264,0.265,231,466,0.496,129,172,0.75,82,255,337,147,70,33,94,173,801
5,Opponent/G,,240.0,37.6,91.3,0.412,8.8,33.0,0.265,28.9,58.3,0.496,16.1,21.5,0.75,10.3,31.9,42.1,18.4,8.8,4.1,11.8,21.6,100.1
6,Lg Rank,,22,5,25,2.0,1,7,1.0,24,27,7.0,18,21,9.0,16,1,3,1,25,6,30,1,4
7,Year/Year,,-0.4%,-8.0%,-0.2%,-0.035,-19.5%,3.6%,-0.076,-3.8%,-2.2%,-0.008,10.9%,13.5%,-0.018,4.5%,-2.8%,-1.1%,-17.5%,13.7%,5.3%,2.3%,14.1%,-6.6%
