Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2019-20,20.0,IND,NBA,C,54,471,12.1,0.523,0.28,0.22,5.9,18.7,12.3,6.7,1.0,6.9,14.5,17.9,-0.1,0.8,0.7,0.067,-4.1,1.8,-2.3,0.0
2020-21,21.0,IND,NBA,C,45,561,16.3,0.523,0.407,0.314,11.7,17.3,14.5,8.9,0.8,8.7,7.1,18.1,0.7,0.8,1.5,0.129,-1.9,0.8,-1.2,0.1
2021-22,22.0,IND,NBA,C,15,132,11.0,0.385,0.5,0.313,13.3,15.2,14.3,3.1,3.3,5.8,8.4,19.6,-0.1,0.3,0.1,0.047,-5.3,0.3,-5.0,-0.1
Career,,,NBA,,114,1164,14.0,0.506,0.37,0.278,9.5,17.6,13.6,7.4,1.2,7.6,10.2,18.2,0.5,1.8,2.3,0.095,-3.2,1.1,-2.1,0.0
