,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,31,Keita Bates-Diop,PF,6-8,229,"January 23, 1996",United States,1,Ohio State
1,5,Malik Beasley,SG,6-4,187,"November 26, 1996",United States,3,Florida State
2,7,Jordan Bell,C,6-8,216,"January 7, 1995",United States,2,Oregon
3,33,Robert Covington,PF,6-7,209,"December 14, 1990",United States,6,Tennessee State
4,9,Allen Crabbe,SF,6-5,212,"April 9, 1992",United States,6,California
5,23,Jarrett Culver,SG,6-6,195,"February 20, 1999",United States,R,Texas Tech
6,5,Gorgui Dieng,C,6-10,252,"January 18, 1990",Senegal,6,Louisville
7,12,Jacob Evans,SG,6-4,210,"June 18, 1997",United States,1,Cincinnati
8,12,Treveon Graham,SF,6-5,219,"October 28, 1993",United States,3,VCU
9,41,Juan Hernangomez,PF,6-9,214,"September 28, 1995",Spain,3,
10,16,James Johnson,C,6-7,240,"February 20, 1987",United States,10,Wake Forest
11,10,Jake Layman,SF,6-8,209,"March 7, 1994",United States,3,Maryland
12,30,Kelan Martin,SF,6-5,230,"August 3, 1995",United States,R,Butler
13,6,Jordan McLaughlin,PG,5-11,185,"April 9, 1996",United States,R,USC
14,13,Shabazz Napier,PG,6-0,175,"July 14, 1991",United States,5,UConn
15,4,Jaylen Nowell,SG,6-4,201,"July 9, 1999",United States,R,Washington
16,20,Josh Okogie,SG,6-4,213,"September 1, 1998",Nigeria,1,Georgia Tech
17,11,Naz Reid,C,6-9,264,"August 26, 1999",United States,R,LSU
18,0,D'Angelo Russell,PG,6-4,193,"February 23, 1996",United States,4,Ohio State
19,0,Jeff Teague,PG,6-3,195,"June 10, 1988",United States,10,Wake Forest
20,32,Karl-Anthony Towns,C,6-11,248,"November 15, 1995",United States,4,Kentucky
21,3,Jarred Vanderbilt,PF,6-9,214,"April 3, 1999",United States,1,Kentucky
22,1,Noah Vonleh,C,6-10,257,"August 24, 1995",United States,5,Indiana
23,22,Andrew Wiggins,SF,6-7,197,"February 23, 1995",Canada,5,Kansas
