No.,Player,Pos,Ht,Wt,Birthdate,Country,Exp,College
,Tim Hardaway Jr.,G,6-5,205,"March 16, 1992",us,8,Michigan
,Josh Green,G-F,6-5,200,"November 16, 2000",au,1,Arizona
,Dwight Powell,F-C,6-10,240,"July 20, 1991",ca,7,Stanford
,Sterling Brown,G,6-5,219,"February 10, 1995",us,4,SMU
,Trey Burke,G,6-0,185,"November 12, 1992",us,8,Michigan
,Luka Dončić,G-F,6-7,230,"February 28, 1999",si,3,
,Boban Marjanović,C,7-4,290,"August 15, 1988",rs,6,
,Willie Cauley-Stein,F-C,7-0,240,"August 18, 1993",us,6,Kentucky
,Jalen Brunson,G,6-1,190,"August 31, 1996",us,3,Villanova
,Eugene Omoruyi (TW),F,6-7,244,"February 14, 1997",ng,R,"Rutgers University, Oregon"
,Tyrell Terry,G,6-2,160,"September 28, 2000",us,1,Stanford
,Maxi Kleber,F,6-10,240,"January 29, 1992",de,4,
,JaQuori McLaughlin (TW),G,6-4,190,"January 29, 1998",us,R,"Oregon State, UC Santa Barbara"
,Moses Brown,C,7-2,245,"October 13, 1999",us,2,UCLA
,Dorian Finney-Smith,F,6-7,220,"May 4, 1993",us,5,Florida
,Reggie Bullock,G-F,6-6,205,"March 16, 1991",us,8,UNC
,Kristaps Porziņģis,F-C,7-3,240,"August 2, 1995",lv,5,
