,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,OWS,DWS,WS,WS/48
0,1947-48,18.0,PHW,BAA,,19,,,0.315,0.268,,,,,0.0,0.3,0.3,
1,1951-52,22.0,PHW,NBA,,15,141.0,6.1,0.381,0.286,,,,,-0.1,0.0,-0.1,-0.035
2,Career,,,TOT,,34,141.0,6.1,0.346,0.276,,,,,-0.1,0.3,0.2,-0.035
3,,,,BAA,,19,,,0.315,0.268,,,,,0.0,0.3,0.3,
4,,,,NBA,,15,141.0,6.1,0.381,0.286,,,,,-0.1,0.0,-0.1,-0.035
