,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,33,Ryan Anderson,C,6-9,240,"May 6, 1988",United States,11,California
1,5,Bruno Caboclo,C,6-9,218,"September 21, 1995",Brazil,5,
2,15,Clint Capela,C,6-10,240,"May 18, 1994",Switzerland,5,
3,9,DeMarre Carroll,C,6-6,215,"July 27, 1986",United States,10,"Vanderbilt, Missouri"
4,19,Tyson Chandler,C,7-0,235,"October 2, 1982",United States,18,
5,6,Gary Clark,PF,6-6,225,"November 16, 1994",United States,1,Cincinnati
6,3,Chris Clemons,SG,5-9,180,"July 23, 1997",United States,R,Campbell
7,33,Robert Covington,C,6-7,209,"December 14, 1990",United States,6,Tennessee State
8,21,Michael Frazier,SG,6-3,200,"March 8, 1994",United States,R,Florida
9,10,Eric Gordon,SF,6-3,215,"December 25, 1988",United States,11,Indiana
10,32,Jeff Green,C,6-8,235,"August 28, 1986",United States,11,Georgetown
11,13,James Harden,SG,6-5,220,"August 26, 1989",United States,10,Arizona State
12,55,Isaiah Hartenstein,C,7-0,250,"May 5, 1998",United States,1,
13,4,Danuel House,SF,6-6,220,"June 7, 1993",United States,3,Texas A&M
14,52,William Howard,PF,6-8,207,"October 25, 1993",France,R,
15,12,Luc Mbah a Moute,PF,6-8,230,"September 9, 1986",Cameroon,11,UCLA
16,16,Ben McLemore,SF,6-3,195,"February 11, 1993",United States,6,Kansas
17,25,Austin Rivers,SG,6-4,200,"August 1, 1992",United States,7,Duke
18,18,Thabo Sefolosha,PF,6-6,215,"May 2, 1984",Switzerland,13,
19,17,PJ Tucker,PF,6-5,245,"May 5, 1985",United States,8,Texas
20,0,Russell Westbrook,PG,6-3,200,"November 12, 1988",United States,11,UCLA
