,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,1,Trevor Ariza,SF,6-8,215,"June 30, 1985",United States,11,UCLA
1,8,Michael Beasley,PF,6-9,235,"January 9, 1989",United States,7,Kansas State
2,2,Patrick Beverley,PG,6-1,180,"July 12, 1988",United States,3,Arkansas
3,33,Corey Brewer,SF,6-9,186,"March 5, 1986",United States,8,Florida
4,15,Clint Capela,C,6-10,240,"May 18, 1994",Switzerland,1,
5,7,Sam Dekker,PF,6-9,230,"May 6, 1994",United States,R,Wisconsin
6,0,Andrew Goudelock,PG,6-3,200,"December 7, 1988",United States,2,College of Charleston
7,13,James Harden,SG,6-5,220,"August 26, 1989",United States,6,Arizona State
8,35,Montrezl Harrell,PF,6-7,240,"January 26, 1994",United States,R,Louisville
9,44,Chuck Hayes,C,6-6,240,"June 11, 1983",United States,10,Kentucky
10,12,Dwight Howard,C,6-10,265,"December 8, 1985",United States,11,
11,6,Terrence Jones,PF,6-9,252,"January 9, 1992",United States,3,Kentucky
12,3,Ty Lawson,PG,5-11,195,"November 3, 1987",United States,6,UNC
13,32,KJ McDaniels,SF,6-6,205,"February 9, 1993",United States,1,Clemson
14,20,Donatas Motiejunas,PF,7-0,222,"September 20, 1990",Lithuania,3,
15,5,Josh Smith,PF,6-9,225,"December 5, 1985",United States,11,
16,31,Jason Terry,SG,6-2,185,"September 15, 1977",United States,16,Arizona
17,10,Marcus Thornton,SG,6-4,205,"June 5, 1987",United States,6,LSU
