Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2019-20,23.0,MEM,NBA,SG,19,0,9.5,1.3,1.9,0.649,0.3,0.5,0.5,1.0,1.4,0.704,0.716,0.1,0.1,0.5,0.9,1.5,2.5,1.2,0.4,0.2,0.4,0.4,2.8
2020-21,24.0,MEM,NBA,SG,43,0,13.4,1.6,3.2,0.5,0.5,1.3,0.375,1.1,1.9,0.585,0.576,0.6,0.7,0.833,0.8,2.2,3.0,1.1,0.7,0.2,0.4,0.9,4.3
2021-22,25.0,MEM,NBA,SG,11,0,14.4,1.2,2.5,0.464,0.2,1.0,0.182,1.0,1.5,0.647,0.5,0.3,0.7,0.375,1.0,2.0,3.0,0.8,0.8,0.4,0.5,1.4,2.8
Career,,,NBA,,73,0,12.5,1.5,2.8,0.522,0.4,1.1,0.364,1.1,1.7,0.619,0.591,0.4,0.5,0.725,0.9,2.0,2.8,1.1,0.6,0.2,0.4,0.8,3.7
