,StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Team,82.0,19780,3351,7018,0.477,796,2026,0.393,2555,4992,0.512,1556,2080,0.748,967,2652,3619,1927,572,453,1125,1563,9054
1,Team/G,,241.2,40.9,85.6,0.477,9.7,24.7,0.393,31.2,60.9,0.512,19.0,25.4,0.748,11.8,32.3,44.1,23.5,7.0,5.5,13.7,19.1,110.4
2,Lg Rank,,19,1,2,2.0,1,1,1.0,14,24,2.0,19,19,22.0,19,1,1,3,22,9,7,1,1
3,Year/Year,,0.3%,13.3%,5.2%,0.034,91.8%,68.6%,0.048,0.5%,-8.7%,0.047,11.8%,11.5%,0.002,4.7%,10.2%,8.7%,21.5%,-22.1%,18.3%,-9.9%,-16.1%,17.2%
4,Opponent,82.0,19780,3328,7485,0.445,494,1476,0.335,2834,6009,0.472,1320,1775,0.744,1233,2550,3783,1741,627,342,1131,1750,8470
5,Opponent/G,,241.2,40.6,91.3,0.445,6.0,18.0,0.335,34.6,73.3,0.472,16.1,21.6,0.744,15.0,31.1,46.1,21.2,7.6,4.2,13.8,21.3,103.3
6,Lg Rank,,19,30,30,14.0,26,28,3.0,30,30,16.0,1,1,5.0,30,26,29,15,19,4,22,26,30
7,Year/Year,,0.3%,11.9%,12.2%,-0.001,3.1%,7.4%,-0.014,13.5%,13.4%,0.0,-17.6%,-15.2%,-0.022,18.8%,0.0%,5.4%,-1.1%,-3.4%,-20.7%,-13.3%,10.1%,5.5%
