,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,9,Matt Barnes,SF,6-7,226,"March 9, 1980",United States,8,UCLA
1,5,Steve Blake,PG,6-3,172,"February 26, 1980",United States,8,Maryland
2,24,Kobe Bryant,SG,6-6,212,"August 23, 1978",United States,15,
3,17,Andrew Bynum,C,7-0,285,"October 27, 1987",United States,6,
4,3,Devin Ebanks,SG,6-9,215,"October 28, 1989",United States,1,West Virginia
5,88,Christian Eyenga,SF,6-5,210,"June 22, 1989",Congo - Kinshasa,1,
6,2,Derek Fisher,PG,6-1,200,"August 9, 1974",United States,15,Little Rock
7,16,Pau Gasol,PF,7-0,250,"July 6, 1980",Spain,10,
8,0,Andrew Goudelock,SG,6-3,200,"December 7, 1988",United States,R,College of Charleston
9,27,Jordan Hill,C,6-10,235,"July 27, 1987",United States,2,Arizona
10,28,Jason Kapono,SG,6-8,213,"February 4, 1981",United States,8,UCLA
11,6,Josh McRoberts,PF,6-10,240,"February 28, 1987",United States,4,Duke
12,1,Darius Morris,PG,6-4,190,"January 3, 1991",United States,R,Michigan
13,14,Troy Murphy,PF,6-11,245,"May 2, 1980",United States,10,Notre Dame
14,7,Ramon Sessions,PG,6-3,190,"April 11, 1986",United States,4,Nevada
15,4,Luke Walton,SF,6-8,235,"March 28, 1980",United States,8,Arizona
16,15,Metta World Peace,SF,6-7,260,"November 13, 1979",United States,12,St. John's
