,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,34,Ray Allen,SG,6-5,205,"July 20, 1975",United States,6,UConn
1,17,Kenny Anderson,PG,6-0,168,"October 9, 1970",United States,11,Georgia Tech
2,31,Brent Barry,SG,6-6,185,"December 31, 1971",United States,7,Oregon State
3,52,Calvin Booth,C,6-11,230,"May 7, 1976",United States,3,Penn State
4,41,Elden Campbell,C,6-11,215,"July 23, 1968",United States,12,Clemson
5,14,Predrag Drobnjak,C,6-11,270,"October 27, 1975",Montenegro,1,
6,34,Reggie Evans,PF,6-8,245,"May 18, 1980",United States,R,Iowa
7,40,Joseph Forte,SG,6-4,194,"March 23, 1981",United States,1,UNC
8,33,Jerome James,C,7-0,300,"November 17, 1975",United States,2,Florida A&M
9,7,Rashard Lewis,SF,6-10,215,"August 8, 1979",United States,4,
10,24,Desmond Mason,SF,6-7,224,"October 11, 1977",United States,2,Oklahoma State
11,15,Ronald Murray,SG,6-4,190,"July 29, 1979",United States,R,"Meridian Community College, Shaw"
12,8,Kevin Ollie,PG,6-4,195,"December 27, 1972",United States,5,UConn
13,20,Gary Payton,PG,6-4,180,"July 23, 1968",United States,12,Oregon State
14,9,Vitaly Potapenko,C,6-10,280,"March 21, 1975",Ukraine,6,Wright State University
15,77,Vladimir Radmanovic,PF,6-10,227,"November 19, 1980",Bosnia & Herzegovina,1,
16,5,Ansu Sesay,SF,6-9,225,"July 29, 1976",United States,1,Ole Miss
