,StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Team,82.0,19755,3139,6797,0.462,887,2425,0.366,2252,4372,0.515,1375,1766,0.779,740,2807,3547,1839,708,420,1205,1608,8540
1,Team/G,,240.9,38.3,82.9,0.462,10.8,29.6,0.366,27.5,53.3,0.515,16.8,21.5,0.779,9.0,34.2,43.3,22.4,8.6,5.1,14.7,19.6,104.1
2,Lg Rank,,18,26,29,13.0,13,13,12.0,25,26,12.0,14,15,12.0,23,11,20,21,4,9,20,16,19
3,Year/Year,,0.0%,3.5%,4.3%,-0.004,12.1%,14.0%,-0.006,0.4%,-0.3%,0.004,-1.9%,-5.8%,0.031,-4.0%,1.2%,0.1%,11.4%,28.7%,2.4%,7.8%,4.1%,3.4%
4,Opponent,82.0,19755,3057,6804,0.449,778,2131,0.365,2279,4673,0.488,1295,1680,0.771,710,2702,3412,1636,678,380,1224,1683,8187
5,Opponent/G,,240.9,37.3,83.0,0.449,9.5,26.0,0.365,27.8,57.0,0.488,15.8,20.5,0.771,8.7,33.0,41.6,20.0,8.3,4.6,14.9,20.5,99.8
6,Lg Rank,,18,2,3,6.0,5,3,17.0,4,15,4.0,8,10,19.0,3,10,1,1,24,11,6,8,1
7,Year/Year,,0.0%,2.7%,1.2%,0.006,15.9%,13.7%,0.007,-1.2%,-3.6%,0.012,-1.0%,-1.2%,0.002,-4.3%,5.8%,3.5%,11.8%,13.4%,21.8%,23.0%,1.7%,3.2%
