,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,15,Anthony Bennett,PF,6-8,245,"March 14, 1993",ca,R,UNLV
1,21,Andrew Bynum,C,7-0,285,"October 27, 1987",us,7,
2,6,Earl Clark,PF,6-10,225,"January 17, 1988",us,4,Louisville
3,31,Seth Curry,PG,6-2,185,"August 23, 1990",us,R,"Liberty, Duke"
4,"8, 9",Matthew Dellavedova,SG,6-3,200,"September 8, 1990",au,R,Saint Mary's
5,9,Luol Deng,SF,6-9,237,"April 16, 1985",ss,9,Duke
6,24,Shane Edwards,SF,6-7,220,"May 31, 1987",us,R,Little Rock
7,30,Carrick Felix,SG,6-6,201,"August 17, 1990",us,R,Arizona State
8,33,Alonzo Gee,SF,6-6,225,"May 29, 1987",us,4,Alabama
9,32,Spencer Hawes,C,7-1,245,"April 28, 1988",us,6,Washington
10,24,Scotty Hopson,SG,6-7,204,"August 8, 1989",us,R,Tennessee
11,2,Kyrie Irving,PG,6-2,195,"March 23, 1992",au,2,Duke
12,1,Jarrett Jack,PG,6-3,200,"October 28, 1983",us,8,Georgia Tech
13,10,Sergey Karasev,SF,6-7,208,"October 26, 1993",ru,R,
14,0,CJ Miles,SG,6-6,220,"March 18, 1987",us,8,
15,50,Arinze Onuaku,PF,6-9,255,"July 13, 1987",us,R,Syracuse
16,14,Henry Sims,C,6-10,248,"March 27, 1990",us,1,Georgetown
17,13,Tristan Thompson,PF,6-9,254,"March 13, 1991",ca,2,Texas
18,17,Anderson Varejao,C,6-10,273,"September 28, 1982",br,9,
19,3,Dion Waiters,SG,6-3,215,"December 10, 1991",us,1,Syracuse
20,40,Tyler Zeller,C,7-0,253,"January 17, 1990",us,1,UNC
