,StatType,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OppeFG%,OppTOV%,DRB%,OppFT/FGA,Arena,Attendance
0,Team,32,39,33,38,-1.11,0.46,-0.65,112.4,113.5,100.5,0.262,0.318,0.531,11.2,20.1,0.212,0.542,11.7,79.2,0.193,AT&T Center,550515
1,Lg Rank,19,13,20,16,18.0,5.0,17.0,9.0,25.0,14.0,16.0,28.0,16.0,2.0,28.0,7.0,23.0,26.0,4.0,12.0,,18
