,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2017-18,23.0,NYK,NBA,SG,44.0,2.0,10.8,1.6,3.7,0.447,0.5,1.5,0.324,1.1,2.1,0.538,0.516,0.4,0.5,0.696,0.2,1.7,1.9,0.7,0.3,0.0,0.4,0.8,4.1
1,2018-19,24.0,NYK,NBA,SG,73.0,40.0,27.5,4.0,9.6,0.415,1.7,4.7,0.368,2.2,4.9,0.461,0.506,1.0,1.3,0.745,0.5,3.1,3.6,1.8,0.8,0.1,1.0,1.8,10.7
2,2019-20,25.0,NYK,NBA,SG,48.0,0.0,17.4,2.5,6.0,0.414,1.2,3.4,0.362,1.3,2.6,0.48,0.516,0.5,0.7,0.667,0.2,1.7,1.9,1.2,0.5,0.1,0.4,0.9,6.7
3,2020-21,26.0,CLE,NBA,SG,46.0,7.0,19.7,2.6,6.4,0.406,1.0,3.5,0.289,1.6,2.9,0.545,0.485,0.5,0.8,0.667,0.1,1.9,2.0,2.0,0.3,0.1,0.9,0.9,6.7
4,Career,,,NBA,,211.0,49.0,20.0,2.8,6.8,0.417,1.2,3.5,0.346,1.6,3.4,0.49,0.505,0.6,0.9,0.711,0.3,2.2,2.5,1.5,0.5,0.1,0.7,1.2,7.5
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3 seasons,,NYK,NBA,,165.0,42.0,20.1,2.9,7.0,0.419,1.3,3.5,0.361,1.7,3.5,0.477,0.51,0.7,0.9,0.721,0.3,2.3,2.6,1.4,0.6,0.1,0.7,1.3,7.8
7,1 season,,CLE,NBA,,46.0,7.0,19.7,2.6,6.4,0.406,1.0,3.5,0.289,1.6,2.9,0.545,0.485,0.5,0.8,0.667,0.1,1.9,2.0,2.0,0.3,0.1,0.9,0.9,6.7
