StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,19.0,4585,792,1648,0.481,286,784,0.365,506,864,0.586,305,390,0.782,184,714,898,561,182,94,304,370,2175
Team/G,,241.3,41.7,86.7,0.481,15.1,41.3,0.365,26.6,45.5,0.586,16.1,20.5,0.782,9.7,37.6,47.3,29.5,9.6,4.9,16.0,19.5,114.5
Lg Rank,,23,4,22,1.0,1,3,7.0,19,29,1.0,14,12,12.0,21,2,3,1,2,13,27,21,1
Year/Year,,0.4%,1.0%,-1.6%,0.012,3.4%,6.5%,-0.011,-0.4%,-8.0%,0.045,-3.1%,-2.8%,-0.003,21.5%,7.2%,9.8%,6.8%,17.5%,4.2%,6.7%,-8.1%,0.7%
Opponent,19.0,4585,696,1657,0.42,235,732,0.321,461,925,0.498,290,395,0.734,174,620,794,408,161,71,303,347,1917
Opponent/G,,241.3,36.6,87.2,0.42,12.4,38.5,0.321,24.3,48.7,0.498,15.3,20.8,0.734,9.2,32.6,41.8,21.5,8.5,3.7,15.9,18.3,100.9
Lg Rank,,23,1,10,1.0,16,24,4.0,2,3,7.0,13,19,3.0,3,3,3,5,24,3,6,25,1
Year/Year,,0.4%,-9.0%,-2.0%,-0.032,-0.1%,11.8%,-0.038,-12.9%,-10.7%,-0.012,-22.9%,-18.4%,-0.043,-14.3%,-10.8%,-11.6%,-9.6%,7.6%,-13.8%,6.0%,-6.5%,-10.4%
