,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,42,Vin Baker,C,6-11,232,"November 23, 1971",United States,9,University of Hartford
1,4,Tony Battie,C,6-11,230,"February 11, 1976",United States,5,Texas Tech
2,30,Mark Blount,C,7-0,230,"November 30, 1975",United States,2,Pitt
3,9,JR Bremer,PG,6-2,185,"September 19, 1980",United States,R,St. Bonaventure
4,5,Kedrick Brown,SF,6-7,222,"March 18, 1981",United States,1,Okaloosa-Walton Community College
5,11,Mark Bryant,PF,6-9,245,"April 25, 1965",United States,14,Seton Hall
6,12,Bimbo Coles,PG,6-1,180,"April 22, 1968",United States,12,Virginia Tech
7,7,Tony Delk,PG,6-1,189,"January 28, 1974",United States,6,Kentucky
8,43,Grant Long,PF,6-8,225,"March 12, 1966",United States,14,Eastern Michigan
9,0,Walter McCarty,SF,6-10,230,"February 1, 1974",United States,6,Kentucky
10,31,Mikki Moore,C,6-11,225,"November 4, 1975",United States,4,Nebraska
11,34,Paul Pierce,SG,6-7,235,"October 13, 1977",United States,4,Kansas
12,41,Bruno Sundov,C,7-2,220,"February 10, 1980",Croatia,4,
13,8,Antoine Walker,PF,6-8,224,"August 12, 1976",United States,6,Kentucky
14,55,Eric Williams,SF,6-8,220,"July 17, 1972",United States,7,"Vincennes University, Providence"
15,11,Shammond Williams,PG,6-1,201,"April 5, 1975",United States,4,UNC
16,45,Ruben Wolkowyski,PF,6-10,270,"September 30, 1973",Argentina,1,
