,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,12,Shannon Brown,SG,6-4,205,"November 29, 1985",United States,3,Michigan State
1,24,Kobe Bryant,SG,6-6,212,"August 23, 1978",United States,13,
2,17,Andrew Bynum,C,7-0,285,"October 27, 1987",United States,4,
3,1,Jordan Farmar,PG,6-2,180,"November 30, 1986",United States,3,UCLA
4,2,Derek Fisher,PG,6-1,200,"August 9, 1974",United States,13,Little Rock
5,16,Pau Gasol,C,7-0,250,"July 6, 1980",Spain,8,
6,28,Didier Ilunga-Mbenga,C,7-0,245,"December 30, 1980",Congo - Kinshasa,5,
7,6,Adam Morrison,SF,6-8,205,"July 19, 1984",United States,2,Gonzaga
8,7,Lamar Odom,PF,6-10,220,"November 6, 1979",United States,10,Rhode Island
9,21,Josh Powell,PF,6-9,225,"January 25, 1983",United States,4,NC State
10,18,Sasha Vujacic,SG,6-7,195,"March 8, 1984",Slovenia,5,
11,4,Luke Walton,SF,6-8,235,"March 28, 1980",United States,6,Arizona
12,37,Metta World Peace,SF,6-7,260,"November 13, 1979",United States,10,St. John's
