Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,25.0,HOU,NBA,SF,70,58,29.2,4.5,8.9,0.506,0.9,2.8,0.308,3.7,6.1,0.595,0.554,1.5,2.1,0.694,1.9,3.5,5.3,2.5,1.2,0.5,1.4,3.2,11.3
2021-22,26.0,HOU,NBA,SF,16,16,27.6,4.4,9.2,0.483,0.7,2.5,0.275,3.8,6.7,0.561,0.52,1.9,2.6,0.732,2.4,4.6,7.1,1.8,0.8,0.6,1.8,3.4,11.4
Career,,,NBA,,86,74,28.9,4.5,9.0,0.501,0.8,2.7,0.302,3.7,6.2,0.588,0.547,1.5,2.2,0.702,2.0,3.7,5.7,2.4,1.1,0.5,1.5,3.2,11.4
