,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,0,Gilbert Arenas,PG,6-4,191,"January 6, 1982",United States,6,Arizona
1,32,Andray Blatche,PF,6-11,235,"August 22, 1986",United States,2,
2,3,Caron Butler,SF,6-7,228,"March 13, 1980",United States,5,UConn
3,6,Antonio Daniels,PG,6-4,195,"March 19, 1975",United States,10,Bowling Green
4,33,Brendan Haywood,C,7-0,268,"November 27, 1979",United States,6,UNC
5,4,Antawn Jamison,PF,6-8,223,"June 12, 1976",United States,9,UNC
6,8,Roger Mason,PG,6-5,200,"September 10, 1980",United States,3,Virginia
7,5,Dominic McGuire,SG,6-9,220,"October 20, 1985",United States,R,"California, Fresno State"
8,14,Oleksiy Pecherov,C,7-0,232,"December 8, 1985",Ukraine,R,
9,9,Darius Songaila,C,6-9,248,"February 14, 1978",Lithuania,4,Wake Forest
10,2,DeShawn Stevenson,SG,6-5,210,"April 3, 1981",United States,7,
11,29,Mike Wilks,PG,5-10,185,"May 7, 1979",United States,5,Rice University
12,1,Nick Young,SG,6-7,210,"June 1, 1985",United States,R,USC
