,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,22,Deandre Ayton,C,6-11,250,"July 23, 1998",Bahamas,1,Arizona
1,46,Aron Baynes,C,6-10,260,"December 9, 1986",New Zealand,7,Washington State
2,43,Jonah Bolden,C,6-8,220,"January 2, 1996",Australia,1,UCLA
3,1,Devin Booker,SG,6-5,206,"October 30, 1996",United States,4,Kentucky
4,25,Mikal Bridges,SF,6-6,209,"August 30, 1996",United States,1,Villanova
5,4,Jevon Carter,PG,6-1,200,"September 14, 1995",United States,1,West Virginia
6,14,Cheick Diallo,C,6-8,219,"September 13, 1996",Mali,3,Kansas
7,12,Jared Harper,PG,5-10,175,"September 14, 1997",United States,R,Auburn
8,10,Ty Jerome,SG,6-5,195,"July 8, 1997",United States,R,Virginia
9,23,Cameron Johnson,PF,6-8,210,"March 3, 1996",United States,R,"Pitt, UNC"
10,16,Tyler Johnson,PG,6-3,186,"May 7, 1992",United States,5,Fresno State
11,8,Frank Kaminsky,C,7-0,240,"April 4, 1993",United States,4,Wisconsin
12,0,Jalen Lecque,SG,6-4,185,"June 13, 2000",United States,R,
13,2,Elie Okobo,PG,6-3,190,"October 23, 1997",France,1,
14,3,Kelly Oubre,SF,6-7,203,"December 9, 1995",United States,4,Kansas
15,41,Tariq Owens,PF,6-10,205,"June 30, 1995",United States,R,"Tennessee, St. John's, Texas Tech"
16,15,Cameron Payne,SG,6-1,183,"August 8, 1994",United States,4,Murray State
17,11,Ricky Rubio,PG,6-3,190,"October 21, 1990",Spain,8,
18,20,Dario Saric,PF,6-10,225,"April 8, 1994",Croatia,3,
