,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,0,Trevor Ariza,SF,6-8,215,"June 30, 1985",United States,15,UCLA
1,35,Marvin Bagley,C,6-11,235,"March 14, 1999",United States,1,Duke
2,40,Harrison Barnes,PF,6-8,225,"May 30, 1992",United States,7,UNC
3,26,Kent Bazemore,SF,6-4,195,"July 1, 1989",United States,7,Old Dominion
4,88,Nemanja Bjelica,PF,6-10,234,"May 9, 1988",Serbia,4,
5,8,Bogdan Bogdanovic,SG,6-6,220,"August 18, 1992",Serbia,2,
6,13,Corey Brewer,PF,6-9,186,"March 5, 1986",United States,12,Florida
7,13,Dewayne Dedmon,C,7-0,245,"August 12, 1989",United States,6,USC
8,3,Yogi Ferrell,PG,6-0,178,"May 9, 1993",United States,3,Indiana
9,5,De'Aaron Fox,PG,6-3,185,"December 20, 1997",United States,2,Kentucky
10,32,Wenyen Gabriel,PF,6-9,205,"March 26, 1997",Sudan,R,Kentucky
11,20,Harry Giles,C,6-11,240,"April 22, 1998",United States,1,Duke
12,7,Kyle Guy,SG,6-1,167,"August 11, 1997",United States,R,Virginia
13,24,Buddy Hield,SG,6-4,220,"December 17, 1992",Bahamas,3,Oklahoma
14,22,Richaun Holmes,C,6-10,235,"October 15, 1993",United States,4,Bowling Green
15,10,Justin James,SF,6-7,190,"January 24, 1997",United States,R,Wyoming
16,19,DaQuan Jeffries,SG,6-5,230,"August 30, 1997",United States,R,"Oral Roberts, Tulsa"
17,9,Cory Joseph,PG,6-3,200,"August 20, 1991",Canada,8,Texas
18,25,Alex Len,C,7-0,250,"June 16, 1993",Ukraine,6,Maryland
19,42,Eric Mika,C,6-10,230,"January 5, 1995",United States,R,BYU
20,33,Jabari Parker,PF,6-8,245,"March 15, 1995",United States,5,Duke
21,50,Caleb Swanigan,C,6-9,260,"April 18, 1997",United States,2,Purdue
22,43,Anthony Tolliver,PF,6-8,240,"June 1, 1985",United States,11,Creighton
