,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,42,Elton Brand,C,6-8,275,"March 11, 1979",United States,16,Duke
1,0,Isaiah Canaan,SG,6-0,201,"May 21, 1991",United States,2,Murray State
2,33,Robert Covington,SF,6-7,209,"December 14, 1990",United States,2,Tennessee State
3,39,Jerami Grant,PF,6-8,210,"March 12, 1994",United States,1,Syracuse
4,22,Richaun Holmes,PF,6-10,235,"October 15, 1993",United States,R,Bowling Green
5,7,Carl Landry,PF,6-9,248,"September 19, 1983",United States,8,"Vincennes University, Purdue"
6,5,Kendall Marshall,PG,6-4,200,"August 19, 1991",United States,3,UNC
7,12,TJ McConnell,PG,6-1,190,"March 25, 1992",United States,R,"Duquesne, Arizona"
8,4,Nerlens Noel,C,6-11,220,"April 10, 1994",United States,1,Kentucky
9,8,Jahlil Okafor,C,6-10,270,"December 15, 1995",United States,R,Duke
10,26,Phil Pressey,PG,5-11,175,"February 17, 1991",United States,2,Missouri
11,9,JaKarr Sampson,SF,6-7,214,"March 20, 1993",United States,1,St. John's
12,1,Ish Smith,PG,6-0,175,"July 5, 1988",United States,5,Wake Forest
13,11,Nik Stauskas,SG,6-6,205,"October 7, 1993",Canada,1,Michigan
14,31,Hollis Thompson,SG,6-8,206,"April 3, 1991",United States,2,Georgetown
15,9,Sonny Weems,SF,6-6,205,"July 8, 1986",United States,3,Arkansas
16,35,Christian Wood,PF,6-10,214,"September 27, 1995",United States,R,UNLV
17,1,Tony Wroten,PG,6-6,205,"April 13, 1993",United States,3,Washington
