,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,0,Al-Farouq Aminu,SF,6-8,220,"September 21, 1990",United States,1,Wake Forest
1,1,Trevor Ariza,SF,6-8,215,"June 30, 1985",United States,7,UCLA
2,15,Gustavo Ayon,PF,6-10,250,"April 1, 1985",Mexico,R,
3,8,Marco Belinelli,SG,6-5,220,"March 25, 1986",Italy,4,
4,11,Jerome Dyson,PG,6-3,180,"May 1, 1987",United States,R,UConn
5,54,Jeff Foote,C,7-0,265,"July 14, 1987",United States,R,Cornell
6,10,Eric Gordon,SG,6-3,215,"December 25, 1988",United States,3,Indiana
7,4,Xavier Henry,SG,6-6,220,"March 15, 1991",Belgium,1,Kansas
8,2,Jarrett Jack,PG,6-3,200,"October 28, 1983",United States,6,Georgia Tech
9,5,Carldell Johnson,PG,5-10,180,"January 28, 1983",United States,R,UAB
10,20,Chris Johnson,C,6-11,210,"July 15, 1985",United States,1,LSU
11,12,Trey Johnson,SG,6-5,218,"August 30, 1984",United States,2,"Alcorn State, Jackson State University"
12,18,Solomon Jones,C,6-10,230,"July 16, 1984",United States,5,South Florida
13,35,Chris Kaman,C,7-0,265,"April 28, 1982",United States,8,Central Michigan University
14,24,Carl Landry,PF,6-9,248,"September 19, 1983",United States,4,"Vincennes University, Purdue"
15,50,Emeka Okafor,C,6-10,252,"September 28, 1982",United States,7,UConn
16,12,Donald Sloan,PG,6-3,205,"January 15, 1988",United States,R,Texas A&M
17,14,Jason Smith,PF,7-0,240,"March 2, 1986",United States,3,Colorado State
18,22,DaJuan Summers,SF,6-8,230,"January 24, 1988",United States,2,Georgetown
19,42,Lance Thomas,PF,6-8,240,"April 24, 1988",United States,R,Duke
20,21,Greivis Vasquez,PG,6-6,217,"January 16, 1987",Venezuela,1,Maryland
21,31,Darryl Watkins,C,6-11,258,"November 8, 1984",United States,1,Syracuse
