StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,18.0,4370,696,1575,0.442,249,676,0.368,447,899,0.497,289,378,0.765,183,639,822,395,127,114,254,348,1930
Team/G,,242.8,38.7,87.5,0.442,13.8,37.6,0.368,24.8,49.9,0.497,16.1,21.0,0.765,10.2,35.5,45.7,21.9,7.1,6.3,14.1,19.3,107.2
Lg Rank,,18,23,20,21.0,6,9,3.0,25,22,25.0,13,10,19.0,16,14,15,24,23,2,15,20,18
Year/Year,,0.3%,-1.9%,1.2%,-0.014,17.6%,25.0%,-0.023,-10.2%,-11.5%,0.007,-2.1%,0.4%,-0.02,5.2%,0.1%,1.2%,2.5%,0.2%,24.9%,9.0%,-5.5%,0.2%
Opponent,18.0,4370,692,1624,0.426,249,715,0.348,443,909,0.487,282,357,0.79,201,643,844,434,131,82,244,349,1915
Opponent/G,,242.8,38.4,90.2,0.426,13.8,39.7,0.348,24.6,50.5,0.487,15.7,19.8,0.79,11.2,35.7,46.9,24.1,7.3,4.6,13.6,19.4,106.4
Lg Rank,,18,6,21,3.0,28,28,19.0,3,6,2.0,17,14,22.0,26,18,20,20,6,9,19,11,18
Year/Year,,0.3%,1.4%,4.6%,-0.014,15.3%,11.5%,0.012,-5.0%,-0.2%,-0.025,-7.2%,-10.6%,0.029,15.7%,3.8%,6.4%,2.4%,11.0%,-16.1%,6.3%,8.6%,1.6%
