,StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Team,82.0,19905,2913,6932,0.42,498,1566,0.318,2415,5366,0.45,1397,1867,0.748,820,2793,3613,1654,499,448,976,1494,7721
1,Team/G,,242.7,35.5,84.5,0.42,6.1,19.1,0.318,29.5,65.4,0.45,17.0,22.8,0.748,10.0,34.1,44.1,20.2,6.1,5.5,11.9,18.2,94.2
2,Lg Rank,,6,26,10,29.0,26,24,30.0,17,5,29.0,13,15,19.0,26,6,10,28,30,7,1,2,28
3,Year/Year,,0.0%,-2.1%,3.0%,-0.022,-3.5%,6.5%,-0.033,-1.8%,2.0%,-0.018,-5.2%,-6.6%,0.011,5.7%,2.5%,3.2%,-7.0%,0.0%,6.4%,-3.4%,0.1%,-2.8%
4,Opponent,82.0,19905,3020,6863,0.44,649,1816,0.357,2371,5047,0.47,1292,1673,0.772,728,2890,3618,1815,502,440,1033,1708,7981
5,Opponent/G,,242.7,36.8,83.7,0.44,7.9,22.1,0.357,28.9,61.5,0.47,15.8,20.4,0.772,8.9,35.2,44.1,22.1,6.1,5.4,12.6,20.8,97.3
6,Lg Rank,,6,9,18,8.0,15,11,22.0,10,20,7.0,6,4,30.0,1,30,21,15,1,23,27,9,7
7,Year/Year,,0.0%,-0.1%,0.4%,-0.002,-2.4%,0.9%,-0.012,0.6%,0.2%,0.002,3.3%,1.5%,0.014,-7.3%,4.5%,1.9%,5.6%,-2.3%,6.0%,-5.2%,-0.5%,0.3%
