StatType,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OppeFG%,OppTOV%,DRB%,OppFT/FGA,Arena,Attendance
Team,9,13,12,10,1.36,0.16,1.52,108.7,107.3,97.7,0.199,0.407,0.526,13.1,23.3,0.152,0.506,12.0,78.5,0.195,Bankers Life Fieldhouse,131672
Lg Rank,21,5,9,19,12.0,16.0,11.0,15.0,13.0,20.0,28.0,15.0,11.0,17.0,10.0,27.0,11.0,21.0,11.0,27.0,,27
