,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,8,Al-Farouq Aminu,PF,6-8,220,"September 21, 1990",United States,8,Wake Forest
1,2,Wade Baldwin,PG,6-4,200,"March 29, 1996",United States,2,Vanderbilt
2,33,Zach Collins,C,6-11,250,"November 19, 1997",United States,1,Gonzaga
3,31,Seth Curry,SG,6-2,185,"August 23, 1990",United States,4,"Liberty, Duke"
4,4,Maurice Harkless,SF,6-7,220,"May 11, 1993",United States,6,St. John's
5,5,Rodney Hood,SG,6-8,208,"October 20, 1992",United States,4,"Mississippi State, Duke"
6,0,Enes Kanter,C,6-10,250,"May 20, 1992",Switzerland,7,
7,17,Skal Labissiere,PF,6-10,235,"March 18, 1996",Haiti,2,Kentucky
8,10,Jake Layman,SF,6-8,209,"March 7, 1994",United States,2,Maryland
9,11,Meyers Leonard,C,7-0,260,"February 27, 1992",United States,6,Illinois
10,0,Damian Lillard,PG,6-2,195,"July 15, 1990",United States,6,Weber State
11,3,CJ McCollum,SG,6-3,190,"September 19, 1991",United States,5,Lehigh
12,27,Jusuf Nurkic,C,6-11,290,"August 23, 1994",Bosnia & Herzegovina,4,
13,24,Anfernee Simons,SG,6-3,181,"June 8, 1999",United States,R,
14,6,Nik Stauskas,SG,6-6,205,"October 7, 1993",Canada,4,Michigan
15,50,Caleb Swanigan,PF,6-9,260,"April 18, 1997",United States,1,Purdue
16,9,Gary Trent,SG,6-5,209,"January 18, 1999",United States,R,Duke
17,1,Evan Turner,PG,6-6,220,"October 27, 1988",United States,8,Ohio State
