,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,42,Alexis Ajinca,C,7-2,248,"May 6, 1988",France,2,
1,50,Solomon Alabi,C,7-1,251,"March 21, 1988",Nigeria,R,Florida State
2,13,David Andersen,PF,6-11,245,"June 23, 1980",Australia,1,
3,3,Marcus Banks,PG,6-2,200,"November 19, 1981",United States,7,UNLV
4,20,Leandro Barbosa,SG,6-3,194,"November 28, 1982",Brazil,7,
5,7,Andrea Bargnani,C,7-0,245,"October 26, 1985",Italy,4,
6,5,Jerryd Bayless,PG,6-3,200,"August 20, 1988",United States,2,Arizona
7,8,Jose Calderon,PG,6-3,200,"September 28, 1981",Spain,5,
8,32,Ed Davis,PF,6-9,218,"June 5, 1989",United States,R,UNC
9,10,DeMar DeRozan,SG,6-6,220,"August 7, 1989",United States,1,USC
10,9,Joey Dorsey,C,6-8,268,"December 16, 1983",United States,2,Memphis
11,12,Ronald Dupree,SF,6-7,209,"January 26, 1981",United States,5,LSU
12,30,Reggie Evans,PF,6-8,245,"May 18, 1980",United States,8,Iowa
13,2,Sundiata Gaines,PG,6-1,185,"April 18, 1986",United States,1,Georgia
14,1,Jarrett Jack,PG,6-3,200,"October 28, 1983",United States,5,Georgia Tech
15,15,Amir Johnson,PF,6-9,240,"May 1, 1987",United States,5,
16,0,James Johnson,SF,6-7,240,"February 20, 1987",United States,1,Wake Forest
17,12,Trey Johnson,SG,6-5,218,"August 30, 1984",United States,1,"Alcorn State, Jackson State University"
18,11,Linas Kleiza,SF,6-8,245,"January 3, 1985",Lithuania,4,Missouri
19,16,Peja Stojakovic,SF,6-10,229,"June 9, 1977",Croatia,12,
20,24,Sonny Weems,SF,6-6,205,"July 8, 1986",United States,2,Arkansas
21,14,Julian Wright,SF,6-8,225,"May 20, 1987",United States,3,Kansas
