,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,41,Saddiq Bey,SF,6-7,215,"April 9, 1999",United States,R,Villanova
1,25,Tyler Cook,SF,6-8,255,"September 23, 1997",United States,1,Iowa
2,6,Hamidou Diallo,SF,6-5,202,"July 31, 1998",United States,2,Kentucky
3,45,Sekou Doumbouya,PF,6-8,230,"December 23, 2000",Guinea,1,
4,8,Wayne Ellington,SG,6-4,207,"November 29, 1987",United States,11,UNC
5,9,Jerami Grant,SF,6-8,210,"March 12, 1994",United States,6,Syracuse
6,23,Blake Griffin,PF,6-9,250,"March 16, 1989",United States,10,Oklahoma
7,7,Killian Hayes,PG,6-5,195,"July 27, 2001",United States,R,
8,5,Frank Jackson,PG,6-3,205,"May 4, 1998",United States,2,Duke
9,20,Josh Jackson,SG,6-8,207,"February 10, 1997",United States,3,Kansas
10,18,Cory Joseph,PG,6-3,200,"August 20, 1991",Canada,9,Texas
11,38,Saben Lee,PG,6-2,183,"June 23, 1999",United States,R,Vanderbilt
12,17,Rodney McGruder,SG,6-4,205,"July 29, 1991",United States,4,Kansas State
13,19,Svi Mykhailiuk,SF,6-7,205,"June 10, 1997",Ukraine,2,Kansas
14,13,Jahlil Okafor,C,6-10,270,"December 15, 1995",United States,5,Duke
15,24,Mason Plumlee,C,6-11,254,"March 5, 1990",United States,7,Duke
16,25,Derrick Rose,PG,6-2,200,"October 4, 1988",United States,11,Memphis
17,91,Deividas Sirvydis,SG,6-8,190,"June 10, 2000",Lithuania,R,
18,0,Dennis Smith,PG,6-2,205,"November 25, 1997",United States,3,NC State
19,28,Isaiah Stewart,C,6-8,250,"May 22, 2001",United States,R,Washington
20,55,Delon Wright,SG,6-5,185,"April 26, 1992",United States,5,Utah
