,StatType,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OppeFG%,OppTOV%,DRB%,OppFT/FGA,Arena,Attendance
0,Team,17,65,16,66,-9.62,0.04,-9.59,96.5,106.7,94.0,0.298,0.133,0.444,16.4,31.0,0.223,0.484,13.0,73.2,0.252,Gund Arena,471374
1,Lg Rank,28,1,29,29,29.0,15.0,29.0,28.0,24.0,3.0,17.0,24.0,27.0,28.0,5.0,16.0,23.0,25.0,4.0,24.0,,29
