,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,1,Trevor Ariza,SG,6-8,215,"June 30, 1985",United States,2,UCLA
1,30,Carlos Arroyo,PG,6-2,202,"July 30, 1979",Puerto Rico,5,Florida International University
2,40,James Augustine,PF,6-10,235,"February 27, 1984",United States,R,Illinois
3,4,Tony Battie,PF,6-11,230,"February 11, 1976",United States,9,Texas Tech
4,10,Keith Bogans,SG,6-5,215,"May 12, 1980",United States,3,Kentucky
5,34,Travis Diener,PG,6-1,175,"March 1, 1982",United States,1,Marquette
6,5,Keyon Dooling,SG,6-3,196,"May 8, 1980",United States,6,Missouri
7,8,Pat Garrity,PF,6-9,238,"August 23, 1976",United States,8,Notre Dame
8,33,Grant Hill,SG,6-8,225,"October 5, 1972",United States,11,Duke
9,12,Dwight Howard,C,6-10,265,"December 8, 1985",United States,2,
10,31,Darko Milicic,PF,7-0,250,"June 20, 1985",Serbia,3,
11,14,Jameer Nelson,PG,6-0,190,"February 9, 1982",United States,2,Saint Joseph's
12,45,Bo Outlaw,PF,6-8,210,"April 13, 1971",United States,13,"South Plains College, Houston"
13,7,JJ Redick,PG,6-3,200,"June 24, 1984",United States,R,Duke
14,15,Hedo Turkoglu,SF,6-10,220,"March 19, 1979",Turkey,6,
