,StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Team,82.0,19805,3322,7230,0.459,507,1456,0.348,2815,5774,0.488,1475,1854,0.796,1174,2538,3712,1963,656,437,1000,1609,8626
1,Team/G,,241.5,40.5,88.2,0.459,6.2,17.8,0.348,34.3,70.4,0.488,18.0,22.6,0.796,14.3,31.0,45.3,23.9,8.0,5.3,12.2,19.6,105.2
2,Lg Rank,,15,1,1,3.0,6,5,11.0,1,3,1.0,15,22,1.0,1,6,2,3,15,10,1,3,1
3,Year/Year,,0.1%,5.1%,3.6%,0.007,-20.3%,-12.7%,-0.033,11.5%,8.7%,0.012,-0.7%,3.4%,-0.033,28.7%,-0.2%,7.4%,6.9%,-1.4%,-2.7%,5.4%,-7.0%,2.2%
4,Opponent,82.0,19805,3133,6824,0.459,534,1471,0.363,2599,5353,0.486,1462,1960,0.746,1009,2562,3571,1937,582,382,1242,1690,8262
5,Opponent/G,,241.5,38.2,83.2,0.459,6.5,17.9,0.363,31.7,65.3,0.486,17.8,23.9,0.746,12.3,31.2,43.5,23.6,7.1,4.7,15.1,20.6,100.8
6,Lg Rank,,15,27,28,27.0,28,28,25.0,24,14,28.0,13,12,10.0,16,26,22,27,3,7,15,21,28
7,Year/Year,,0.1%,7.1%,2.0%,0.022,11.9%,5.0%,0.022,6.1%,1.3%,0.022,-1.0%,-3.5%,0.019,-3.4%,-4.5%,-4.2%,8.8%,6.4%,18.6%,-5.6%,-3.2%,5.8%
