Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2021-22,19.0,HOU,NBA,SG,14,14,31.9,4.9,13.5,0.36,1.9,6.8,0.274,3.0,6.7,0.447,0.429,2.4,3.0,0.786,0.4,3.0,3.4,2.6,0.7,0.3,3.1,1.8,13.9
Career,,,NBA,,14,14,31.9,4.9,13.5,0.36,1.9,6.8,0.274,3.0,6.7,0.447,0.429,2.4,3.0,0.786,0.4,3.0,3.4,2.6,0.7,0.3,3.1,1.8,13.9
