,StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Team,72.0,17480,3118,6357,0.49,940,2490,0.378,2178,3867,0.563,1124,1347,0.834,630,2462,3092,1939,517,312,902,1374,8300
1,Team/G,,242.8,43.3,88.3,0.49,13.1,34.6,0.378,30.3,53.7,0.563,15.6,18.7,0.834,8.8,34.2,42.9,26.9,7.2,4.3,12.5,19.1,115.3
2,Lg Rank,,1,2,16,2.0,13,15,7.0,9,16,2.0,28,29,2.0,28,18,23,3,19,25,4,14,7
3,Year/Year,,0.7%,5.2%,0.3%,0.023,14.7%,8.8%,0.019,1.5%,-4.6%,0.034,-21.5%,-21.5%,0.001,-10.3%,1.3%,-1.3%,-1.1%,-6.2%,9.1%,-15.1%,-13.4%,1.5%
4,Opponent,72.0,17480,2916,6248,0.467,836,2359,0.354,2080,3889,0.535,1213,1560,0.778,674,2401,3075,1652,498,258,981,1294,7881
5,Opponent/G,,242.8,40.5,86.8,0.467,11.6,32.8,0.354,28.9,54.0,0.535,16.8,21.7,0.778,9.4,33.3,42.7,22.9,6.9,3.6,13.6,18.0,109.5
6,Lg Rank,,1,11,9,15.0,7,10,5.0,18,15,17.0,12,13,15.0,6,10,9,4,5,1,17,28,7
7,Year/Year,,0.7%,-1.8%,-0.7%,-0.005,-0.0%,2.4%,-0.009,-2.5%,-2.5%,-0.0,-12.7%,-11.5%,-0.01,2.9%,-2.5%,-1.4%,-2.8%,-12.3%,-34.8%,-12.7%,-20.6%,-3.5%
