StatType,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OppeFG%,OppTOV%,DRB%,OppFT/FGA,Arena,Attendance
Team,1,16,3,14,-11.24,-0.12,-11.35,97.8,108.8,102.4,0.282,0.419,0.49,16.4,20.5,0.194,0.523,12.7,77.9,0.185,Toyota Center,94507
Lg Rank,30,1,30,28,30.0,18.0,30.0,30.0,19.0,1.0,1.0,12.0,26.0,30.0,24.0,5.0,19.0,16.0,12.0,20.0,,29
