,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,21,Trevor Ariza,SF,6-8,215,"June 30, 1985",United States,1,UCLA
1,9,Matt Barnes,SF,6-7,226,"March 9, 1980",United States,2,UCLA
2,45,Jackie Butler,C,6-10,250,"March 10, 1985",United States,1,
3,11,Jamal Crawford,SG,6-5,185,"March 20, 1980",United States,5,Michigan
4,34,Eddy Curry,C,7-0,295,"December 5, 1982",United States,4,
5,32,Antonio Davis,PF,6-9,215,"October 31, 1968",United States,12,Texas-El Paso
6,1,Steve Francis,SG,6-3,195,"February 21, 1977",United States,6,Maryland
7,7,Channing Frye,C,7-0,255,"May 17, 1983",United States,R,Arizona
8,1,Anfernee Hardaway,SF,6-7,195,"July 18, 1971",United States,12,Memphis
9,31,Jerome James,C,7-0,300,"November 17, 1975",United States,5,Florida A&M
10,42,David Lee,SF,6-9,245,"April 29, 1983",United States,R,Florida
11,3,Stephon Marbury,PG,6-2,180,"February 20, 1977",United States,9,Georgia Tech
12,23,Quentin Richardson,SF,6-6,223,"April 13, 1980",United States,5,DePaul
13,4,Nate Robinson,PG,5-9,180,"May 31, 1984",United States,R,Washington
14,5,Jalen Rose,SG,6-8,210,"January 30, 1973",United States,11,Michigan
15,13,Malik Rose,PF,6-7,250,"November 23, 1974",United States,9,Drexel
16,2,Maurice Taylor,PF,6-9,260,"October 30, 1976",United States,7,"Michigan, LSU"
17,8,Ime Udoka,SF,6-6,215,"August 9, 1977",United States,1,"San Francisco, Portland State"
18,6,Qyntel Woods,SF,6-8,221,"February 16, 1981",United States,3,Northeast Mississippi Community College
