,StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Team,82.0,19780,3211,6918,0.464,725,1996,0.363,2486,4922,0.505,1615,2028,0.796,871,2676,3547,1517,677,400,1041,1708,8762
1,Team/G,,241.2,39.2,84.4,0.464,8.8,24.3,0.363,30.3,60.0,0.505,19.7,24.7,0.796,10.6,32.6,43.3,18.5,8.3,4.9,12.7,20.8,106.9
2,Lg Rank,,18,16,22,11.0,21,22,13.0,12,13,12.0,3,6,8.0,12,23,18,30,4,12,4,23,10
3,Year/Year,,0.0%,6.8%,3.7%,0.014,2.4%,4.2%,-0.006,8.2%,3.5%,0.022,-5.1%,-7.4%,0.019,4.2%,-1.8%,-0.4%,-1.2%,6.4%,-10.9%,-3.0%,6.1%,4.0%
4,Opponent,82.0,19780,3052,6801,0.449,794,2240,0.354,2258,4561,0.495,1519,1948,0.78,831,2619,3450,1786,547,392,1200,1666,8417
5,Opponent/G,,241.2,37.2,82.9,0.449,9.7,27.3,0.354,27.5,55.6,0.495,18.5,23.8,0.78,10.1,31.9,42.1,21.8,6.7,4.8,14.6,20.3,102.6
6,Lg Rank,,18,5,4,6.0,13,18,12.0,4,7,8.0,20,18,24.0,13,7,6,8,3,13,10,10,8
7,Year/Year,,0.0%,2.0%,1.0%,0.005,10.7%,16.5%,-0.019,-0.7%,-5.2%,0.022,12.2%,7.7%,0.031,6.3%,2.3%,3.2%,0.3%,2.4%,-11.3%,9.7%,-7.5%,4.5%
