StatType,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OppeFG%,OppTOV%,DRB%,OppFT/FGA,Arena,Attendance
Team,10,3,9,4,5.54,-2.41,3.13,109.0,103.6,101.8,0.224,0.353,0.531,12.1,19.6,0.176,0.505,14.9,77.4,0.166,Phoenix Suns Arena,105733
Lg Rank,2,28,8,4,6.0,30.0,8.0,12.0,4.0,5.0,15.0,26.0,7.0,8.0,27.0,14.0,8.0,4.0,17.0,14.0,,17
